dataset,method,adaptive_accuracy,oracle_accuracy,oracle_language,tie_count,regret,interpretation
taiwan_binarised,cals_compact_explain,0.8210444444444445,0.8207777777777778,unary,1,-0.0002666666666666373,beats_every_fixed_language
taiwan_binarised,smart_certified,0.8206111111111112,0.8207777777777778,unary,1,0.0001666666666666483,underperforms_best_fixed_language
tic-tac-toe,cals,0.8932055749128921,0.9175958188153309,horn,1,0.024390243902438824,underperforms_best_fixed_language
tic-tac-toe,cals_compact_explain,0.8911149825783973,0.9175958188153309,horn,1,0.026480836236933647,underperforms_best_fixed_language
tic-tac-toe,smart_certified,0.8954703832752614,0.9175958188153309,horn,1,0.022125435540069516,underperforms_best_fixed_language
titanic-un,cals,0.8186090225563909,0.8101503759398497,horn,1,-0.008458646616541166,beats_every_fixed_language
titanic-un,cals_compact_explain,0.8007518796992482,0.8101503759398497,horn,1,0.009398496240601517,underperforms_best_fixed_language
titanic-un,smart_certified,0.8046992481203008,0.8101503759398497,horn,1,0.005451127819548929,underperforms_best_fixed_language
vehicle,cals,0.9454724409448818,0.9433070866141732,unary,1,-0.0021653543307086354,beats_every_fixed_language
vehicle,cals_compact_explain,0.9348425196850394,0.9433070866141732,unary,1,0.008464566929133777,underperforms_best_fixed_language
vehicle,smart_certified,0.9460629921259842,0.9433070866141732,unary,1,-0.002755905511811041,beats_every_fixed_language
vote,cals,0.9423076923076923,0.9442307692307692,unary,1,0.0019230769230769162,underperforms_best_fixed_language
vote,cals_compact_explain,0.9446153846153846,0.9442307692307692,unary,1,-0.00038461538461542766,beats_every_fixed_language
vote,smart_certified,0.9376923076923077,0.9442307692307692,unary,1,0.006538461538461493,underperforms_best_fixed_language
wine1-un,cals,0.6754716981132075,0.7084905660377359,antihorn,1,0.03301886792452835,underperforms_best_fixed_language
wine1-un,cals_compact_explain,0.6820754716981131,0.7084905660377359,antihorn,1,0.026415094339622747,underperforms_best_fixed_language
wine1-un,smart_certified,0.6943396226415094,0.7084905660377359,antihorn,1,0.014150943396226467,underperforms_best_fixed_language
wine2-un,cals,0.6556603773584906,0.6641509433962264,antihorn,2,0.008490566037735792,underperforms_best_fixed_language
wine2-un,cals_compact_explain,0.6528301886792452,0.6641509433962264,antihorn,2,0.01132075471698113,underperforms_best_fixed_language
wine2-un,smart_certified,0.6264150943396226,0.6641509433962264,antihorn,2,0.037735849056603765,underperforms_best_fixed_language
wine3-un,cals,0.750943396226415,0.750943396226415,unary,1,0.0,matches_best_fixed_language
wine3-un,cals_compact_explain,0.7471698113207548,0.750943396226415,unary,1,0.0037735849056602655,underperforms_best_fixed_language
wine3-un,smart_certified,0.75,0.750943396226415,unary,1,0.0009433962264150386,underperforms_best_fixed_language
winequality-red-bin,cals,0.99375,0.990625,unary,1,-0.0031250000000000444,beats_every_fixed_language
winequality-red-bin,cals_compact_explain,0.99375,0.990625,unary,1,-0.0031250000000000444,beats_every_fixed_language
winequality-red-bin,smart_certified,0.9884375000000001,0.990625,unary,1,0.002187499999999898,underperforms_best_fixed_language
yeast,cals,0.7173033707865168,0.7141573033707865,horn,2,-0.0031460674157303137,beats_every_fixed_language
yeast,cals_compact_explain,0.7116853932584271,0.7141573033707865,horn,2,0.0024719101123594767,underperforms_best_fixed_language
yeast,smart_certified,0.7073033707865168,0.7141573033707865,horn,2,0.006853932584269695,underperforms_best_fixed_language
