dataset,n_samples,n_features,n_over_p,positive_rate,imbalance_ratio,feature_prevalence_mean,feature_prevalence_std,feature_prevalence_min,feature_prevalence_max,feature_sparsity,signal_source,folds,unary_signal,unary_signal_std,horn_signal,horn_signal_std,antihorn_signal,antihorn_signal_std,square2cnf_signal,square2cnf_signal_std,affine_signal,affine_signal_std,interaction_advantage_horn,interaction_advantage_antihorn,interaction_advantage_square2cnf,interaction_advantage_affine
hepatitis,137,68,2.014705882352941,0.8102189781021898,4.269230769230769,0.5,0.2605413620584384,0.0948905109489051,0.9051094890510949,0.5,training_fold_only_same_boolean_candidate_semantics,10,0.17102913162568306,0.029039032948824615,0.2179820829577733,0.052386280547777844,0.2179820829577733,0.052386280547777844,0.2179820829577733,0.05238628054777784,0.17102913162568306,0.029039032948824615,0.04695295133209024,0.04695295133209024,0.04695295133209024,0.0
hypothyroid,3247,83,39.12048192771084,0.9146904835232522,10.722021660649817,0.4819277108433735,0.35694980135817894,0.0003079765937788728,0.9996920234062211,0.5180722891566265,training_fold_only_same_boolean_candidate_semantics,10,0.31197424296713955,0.004411017925235354,0.31197424296713955,0.004411017925235354,0.31197424296713955,0.004411017925235354,0.31197424296713955,0.004411017925235354,0.31197424296713955,0.004411017925235354,0.0,0.0,0.0,0.0
ionosphere,351,444,0.7905405405405406,0.6410256410256411,1.785714285714286,0.5,0.24561410384808732,0.07692307692307693,0.9230769230769231,0.5,training_fold_only_same_boolean_candidate_semantics,10,0.32006163209115507,0.02528608896814853,0.43519814466682716,0.06225697546472191,0.43519814466682716,0.06225697546472191,0.43519814466682716,0.0622569754647219,0.32006163209115507,0.02528608896814853,0.11513651257567209,0.11513651257567209,0.11513651257567209,0.0
kr-vs-kp,3196,73,43.78082191780822,0.522215269086358,1.0929927963326784,0.4931506849315068,0.34642574171850243,0.00031289111389236547,0.9996871088861077,0.5068493150684932,training_fold_only_same_boolean_candidate_semantics,10,0.19417400643229482,0.001394729449331768,0.30001296115212284,0.0016804117273403277,0.30001296115212284,0.0016804117273403277,0.30001296115212284,0.0016804117273403198,0.19417400643229482,0.001394729449331768,0.10583895471982802,0.10583895471982802,0.10583895471982802,0.0
letter,20000,224,89.28571428571429,0.04065,23.600246002460025,0.5,0.3086176214184796,0.0046,0.9954,0.5,training_fold_only_same_boolean_candidate_semantics,10,0.03804588570480086,0.0012432789850170811,0.06752589104830967,0.0016450945520979446,0.06752589104830967,0.0016450945520979446,0.06752589104830967,0.0016450945520979456,0.03804588570480086,0.0012432789850170811,0.02948000534350881,0.02948000534350881,0.02948000534350881,0.0
letter_recognition-bin,20000,240,83.33333333333333,0.96055,24.348542458808627,0.6049689583333333,0.3951573982090322,5e-05,0.9999,0.3950310416666667,training_fold_only_same_boolean_candidate_semantics,10,0.09735733494260729,0.002060259029814565,0.09735733494260727,0.002060259029814571,0.10089705776156177,0.0018634510340840948,0.10132878809778774,0.001564853632070368,0.07036744158149717,0.001598308042009085,-1.3877787807814457e-17,0.0035397228189544827,0.003971453155180452,-0.026989893361110115
lymph,148,68,2.176470588235294,0.5472972972972973,1.2089552238805967,0.39705882352941174,0.3055697024530017,0.013513513513513514,0.9864864864864865,0.6029411764705883,training_fold_only_same_boolean_candidate_semantics,10,0.29116771875571734,0.039018532528889954,0.33922819592723785,0.03943266669202509,0.34511353987242793,0.0582748879787214,0.35961210238316615,0.055819347334154994,0.29116771875571745,0.03901853252888995,0.04806047717152051,0.05394582111671059,0.06844438362744881,1.1102230246251565e-16
magic04-bin,19020,86,221.1627906976744,0.3516298633017876,1.8438995215311005,0.580499107426699,0.28912942634118066,0.08601472134595163,0.9999474237644584,0.41950089257330103,training_fold_only_same_boolean_candidate_semantics,10,0.13963872298556668,0.0036351401046365423,0.13963872298556668,0.003635140104636545,0.13963872298556668,0.0036351401046365423,0.13963872298556668,0.003635140104636545,0.1068370411277785,0.001855158017384728,0.0,0.0,0.0,-0.03280168185778817
messidor-bin,1151,83,13.867469879518072,0.5308427454387489,1.1314814814814813,0.6666178179267895,0.2550729274290206,0.1416159860990443,0.9991311902693311,0.33338218207321035,training_fold_only_same_boolean_candidate_semantics,10,0.06624958186445129,0.00556974316471429,0.08380316271396235,0.017302776599838407,0.06461512170171227,0.006241428323188552,0.08407642921681949,0.017350583576062565,0.06722245939392725,0.00657751866991033,0.017553580849511058,-0.001634460162739021,0.017826847352368197,0.0009728775294759601
mushroom,8124,111,73.1891891891892,0.517971442639094,1.0745658835546474,0.1801801801801802,0.2260339333195763,0.0004923682914820286,0.9753815854258986,0.8198198198198199,training_fold_only_same_boolean_candidate_semantics,10,0.5211071171729558,0.0031178127869590576,0.5211071171729558,0.0031178127869590615,0.5211071171729558,0.0031178127869590615,0.5219908160444675,0.0029206101403116357,0.5211071171729558,0.0031178127869590615,0.0,0.0,0.00088369887151174,0.0
