dataset,method_key,method_label,depth,category,acc,acc_std,size,expl,train_time,axp_valid_rate,axp_minimal_rate,n_success,n_fail,axp_backend,theorem_certified,path_certificate,rejected_reason,theorem_mode_used,random_state,n_runs,train_test_split_protocol
adult_discretized,gsnh_BestPN_d5,BestPN,5,empirical,0.8502970297029704,0.0031533267503517795,49.2,5.418000000000001,8.260902976989746,nan,nan,10,0,"mixed:interval_dfs_fallback=5,mixed:interval_dfs_fallback=163,unknown=458=1,mixed:interval_dfs_fallback=220,unknown=233=1,mixed:interval_dfs_fallback=231,unknown=281=1,mixed:interval_dfs_fallback=398,unknown=167=1,mixed:interval_dfs_fallback=400,unknown=112=1",False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
adult_discretized,gsnh_BestPN_d7,BestPN,7,empirical,0.8545379537953796,0.002433364017749067,103.6,6.598000000000001,8.334842252731324,nan,nan,10,0,"mixed:interval_dfs_fallback=5,mixed:interval_dfs_fallback=1333,unknown=800=1,mixed:interval_dfs_fallback=1676,unknown=103=1,mixed:interval_dfs_fallback=403,unknown=550=1,mixed:interval_dfs_fallback=545,unknown=229=1,mixed:interval_dfs_fallback=683,unknown=222=1",False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
anneal,sklearn_dt7,sklearn DT,7,baseline,0.8325153374233129,0.026035699599905444,47.4,5.512269938650307,0.0029882192611694336,nan,nan,10,0,sklearn,False,none,baseline,False,42,10,StratifiedShuffleSplit(test_size=0.2)
anneal,gsnh_1D_d5,1D,5,main,0.8331288343558281,0.022255652941370635,17.2,2.2479999999999998,0.4164458751678467,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
anneal,gsnh_1D_d7,1D,7,main,0.8282208588957054,0.017352313648749635,27.6,3.044,0.4297962665557861,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
anneal,gsnh_Horn_d5,Horn,5,main,0.8472392638036809,0.021331703865906406,18.4,3.3980000000000006,0.46847991943359374,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
anneal,gsnh_Horn_d7,Horn,7,main,0.8478527607361963,0.0224241311441682,25.2,3.717999999999999,0.481595516204834,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
anneal,gsnh_AntiHorn_d5,AntiHorn,5,main,0.8398773006134969,0.01679010083853254,18.4,3.3840000000000003,0.46753203868865967,nan,nan,10,0,structural_antihorn,True,antihorn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
anneal,gsnh_AntiHorn_d7,AntiHorn,7,main,0.8503067484662576,0.021983402291004827,25.2,3.664,0.4734846830368042,nan,nan,10,0,structural_antihorn,True,antihorn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
anneal,gsnh_ConjUI_d5,ConjUI,5,auxiliary,0.8380368098159507,0.023949964780298334,14.0,3.1799999999999997,0.46624317169189455,nan,nan,10,0,interval_dfs_fallback,False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
anneal,gsnh_ConjUI_d7,ConjUI,7,auxiliary,0.8380368098159507,0.023949964780298334,14.0,3.184,0.46347177028656006,nan,nan,10,0,interval_dfs_fallback,False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
anneal,gsnh_Square2CNF_d5,Square2CNF,5,main,0.8165644171779141,0.017875831023722037,12.6,2.77,0.4747982740402222,nan,nan,10,0,two_sat,True,2cnf,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
anneal,gsnh_Square2CNF_d7,Square2CNF,7,main,0.8165644171779141,0.017875831023722037,12.6,2.7180000000000004,0.47122156620025635,nan,nan,10,0,two_sat,True,2cnf,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
anneal,gsnh_Affine_d5,Affine,5,auxiliary,0.8104294478527606,0.020613862106026302,11.0,2.168,0.45389959812164304,nan,nan,10,0,affine,False,none,Affine backend is auxiliary unless separately certified,False,42,10,StratifiedShuffleSplit(test_size=0.2)
anneal,gsnh_Affine_d7,Affine,7,auxiliary,0.8104294478527606,0.020613862106026302,11.0,2.186,0.4517151594161987,nan,nan,10,0,affine,False,none,Affine backend is auxiliary unless separately certified,False,42,10,StratifiedShuffleSplit(test_size=0.2)
anneal,gsnh_BestPN_d5,BestPN,5,empirical,0.8466257668711655,0.021949133521470345,18.4,3.4879999999999995,0.47495696544647215,nan,nan,10,0,"mixed:interval_dfs_fallback=2,mixed:interval_dfs_fallback=255,structural_horn=88=1,mixed:interval_dfs_fallback=256,unknown=88=2,mixed:interval_dfs_fallback=437,unknown=264=1,mixed:interval_dfs_fallback=86,unknown=88=1,mixed:interval_dfs_fallback=87,unknown=88=1,unknown=2",False,horn,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
anneal,gsnh_BestPN_d7,BestPN,7,empirical,0.8490797546012269,0.02181152004249226,25.0,3.69,0.4826394557952881,nan,nan,10,0,"mixed:interval_dfs_fallback=2,mixed:interval_dfs_fallback=260,unknown=88=1,mixed:interval_dfs_fallback=262,unknown=609=1,mixed:interval_dfs_fallback=341,structural_horn=88=1,mixed:interval_dfs_fallback=341,unknown=88=1,mixed:interval_dfs_fallback=343,unknown=88=1,mixed:interval_dfs_fallback=671,unknown=260=1,mixed:interval_dfs_fallback=86,unknown=343=1,mixed:interval_dfs_fallback=86,unknown=88=1",False,horn,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
audiology,sklearn_dt7,sklearn DT,7,baseline,0.9590909090909092,0.028386354538174553,13.2,2.277272727272727,0.0009693384170532226,nan,nan,10,0,sklearn,False,none,baseline,False,42,10,StratifiedShuffleSplit(test_size=0.2)
audiology,gsnh_1D_d5,1D,5,main,0.9431818181818181,0.015245918028407692,9.0,1.5909090909090908,0.4029974937438965,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
audiology,gsnh_1D_d7,1D,7,main,0.9431818181818181,0.015245918028407692,9.0,1.5909090909090908,0.4056818723678589,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
audiology,gsnh_Horn_d5,Horn,5,main,0.9431818181818181,0.04459412925079224,8.6,1.6409090909090907,0.4587000846862793,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
audiology,gsnh_Horn_d7,Horn,7,main,0.9431818181818181,0.04459412925079224,8.6,1.6409090909090907,0.452003026008606,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
audiology,gsnh_AntiHorn_d5,AntiHorn,5,main,0.9431818181818183,0.04342039357850636,8.8,1.5681818181818181,0.45213770866394043,nan,nan,10,0,structural_antihorn,True,antihorn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
audiology,gsnh_AntiHorn_d7,AntiHorn,7,main,0.9431818181818183,0.04342039357850636,8.8,1.5681818181818181,0.4561180830001831,nan,nan,10,0,structural_antihorn,True,antihorn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
audiology,gsnh_ConjUI_d5,ConjUI,5,auxiliary,0.9204545454545453,0.027367260406346128,5.2,1.7795454545454543,0.44920241832733154,nan,nan,10,0,interval_dfs_fallback,False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
audiology,gsnh_ConjUI_d7,ConjUI,7,auxiliary,0.9204545454545453,0.027367260406346128,5.2,1.7795454545454543,0.4494333267211914,nan,nan,10,0,interval_dfs_fallback,False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
audiology,gsnh_Square2CNF_d5,Square2CNF,5,main,0.9204545454545455,0.03699731953659024,4.8,1.8045454545454547,0.4606036186218262,nan,nan,10,0,two_sat,True,2cnf,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
audiology,gsnh_Square2CNF_d7,Square2CNF,7,main,0.9204545454545455,0.03699731953659024,4.8,1.8045454545454547,0.45764884948730467,nan,nan,10,0,two_sat,True,2cnf,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
audiology,gsnh_Affine_d5,Affine,5,auxiliary,0.9113636363636362,0.03586303145013522,6.0,2.618181818181818,0.45155022144317625,nan,nan,10,0,affine,False,none,Affine backend is auxiliary unless separately certified,False,42,10,StratifiedShuffleSplit(test_size=0.2)
audiology,gsnh_Affine_d7,Affine,7,auxiliary,0.9113636363636362,0.03586303145013522,6.0,2.618181818181818,0.4522468328475952,nan,nan,10,0,affine,False,none,Affine backend is auxiliary unless separately certified,False,42,10,StratifiedShuffleSplit(test_size=0.2)
audiology,gsnh_BestPN_d5,BestPN,5,empirical,0.9431818181818181,0.04459412925079224,8.8,1.6409090909090907,0.45425140857696533,nan,nan,10,0,"mixed:interval_dfs_fallback=4,unknown=6",False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
audiology,gsnh_BestPN_d7,BestPN,7,empirical,0.9431818181818181,0.04459412925079224,8.8,1.6409090909090907,0.4580822229385376,nan,nan,10,0,"mixed:interval_dfs_fallback=3,mixed:interval_dfs_fallback=285,structural_horn=145=1,unknown=6",False,horn,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
australian-credit,sklearn_dt7,sklearn DT,7,baseline,0.8534351145038167,0.01925117589758548,72.4,5.587786259541985,0.00271759033203125,nan,nan,10,0,sklearn,False,none,baseline,False,42,10,StratifiedShuffleSplit(test_size=0.2)
australian-credit,gsnh_1D_d5,1D,5,main,0.8564885496183205,0.0179997345382467,15.6,1.81,0.5223851919174194,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
australian-credit,gsnh_1D_d7,1D,7,main,0.8549618320610687,0.01740725839846011,18.4,1.862,0.521471357345581,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
australian-credit,gsnh_Horn_d5,Horn,5,main,0.8389312977099237,0.029653319999320665,17.8,2.3960000000000004,0.5878131628036499,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
australian-credit,gsnh_Horn_d7,Horn,7,main,0.8427480916030536,0.032061068702290065,21.0,2.4739999999999998,0.6048585414886475,nan,nan,10,0,structural_horn,True,horn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
australian-credit,gsnh_AntiHorn_d5,AntiHorn,5,main,0.8396946564885497,0.03015025596661298,18.2,2.37,0.5921980142593384,nan,nan,10,0,structural_antihorn,True,antihorn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
australian-credit,gsnh_AntiHorn_d7,AntiHorn,7,main,0.8450381679389313,0.03414697594861838,21.6,2.43,0.5919305801391601,nan,nan,10,0,structural_antihorn,True,antihorn,,True,42,10,StratifiedShuffleSplit(test_size=0.2)
australian-credit,gsnh_ConjUI_d5,ConjUI,5,auxiliary,0.8404580152671756,0.02782858951688272,9.8,2.4579999999999997,0.5651386260986329,nan,nan,10,0,interval_dfs_fallback,False,none,,False,42,10,StratifiedShuffleSplit(test_size=0.2)
