dataset,run,depth,method,search_strategy,candidate_beam_width,tree_beam_width,lookahead_depth,node_budget,total_fit_time
"horn_chain__noise_05",2,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.019709624
"horn_chain__noise_05",2,4,affine,Greedy,8,8,2,18446744073709551615,0.002542039
"horn_chain__noise_05",3,4,unary,Greedy,8,8,2,18446744073709551615,0.000365491
"horn_chain__noise_05",3,4,horn,Greedy,8,8,2,18446744073709551615,0.00112586
"horn_chain__noise_05",3,4,antihorn,Greedy,8,8,2,18446744073709551615,0.00110891
"horn_chain__noise_05",3,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.021282062
"horn_chain__noise_05",3,4,affine,Greedy,8,8,2,18446744073709551615,0.00257566
"horn_chain__noise_05",4,4,unary,Greedy,8,8,2,18446744073709551615,0.00040234
"horn_chain__noise_05",4,4,horn,Greedy,8,8,2,18446744073709551615,0.001158846
"horn_chain__noise_05",4,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001340406
"horn_chain__noise_05",4,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.016750789
"horn_chain__noise_05",4,4,affine,Greedy,8,8,2,18446744073709551615,0.002232078
"horn_chain__noise_10",0,4,unary,Greedy,8,8,2,18446744073709551615,0.000427467
"horn_chain__noise_10",0,4,horn,Greedy,8,8,2,18446744073709551615,0.001226925
"horn_chain__noise_10",0,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001140432
"horn_chain__noise_10",0,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.026828796
"horn_chain__noise_10",0,4,affine,Greedy,8,8,2,18446744073709551615,0.002837523
"horn_chain__noise_10",1,4,unary,Greedy,8,8,2,18446744073709551615,0.000450063
"horn_chain__noise_10",1,4,horn,Greedy,8,8,2,18446744073709551615,0.00111717
"horn_chain__noise_10",1,4,antihorn,Greedy,8,8,2,18446744073709551615,0.001170202
"horn_chain__noise_10",1,4,square2cnf,Greedy,8,8,2,18446744073709551615,0.024992196
"horn_chain__noise_10",1,4,affine,Greedy,8,8,2,18446744073709551615,0.002679659
