dataset,run,depth,method,compatible_family_count,selected_family_counts,path_theory_state,path_backend
"HTRU_2-bin",9,7,cals_compact_explain,5,"{""Square2Cnf"": 7, ""Unary"": 4}","uncommitted|two_sat","StructuralHorn|TwoSat"
"IndiansDiabetes-bin",0,5,unary,1,"{""Unary"": 24}","uncommitted","StructuralHorn"
"IndiansDiabetes-bin",0,5,horn,1,"{""Horn"": 24}","horn","StructuralHorn"
"IndiansDiabetes-bin",0,5,antihorn,1,"{""AntiHorn"": 25}","antihorn","StructuralAntiHorn"
"IndiansDiabetes-bin",0,5,square2cnf,1,"{""Square2Cnf"": 26}","two_sat","TwoSat"
"IndiansDiabetes-bin",0,5,affine,1,"{""Affine"": 25}","affine_gf2","Gf2Gaussian"
"IndiansDiabetes-bin",0,5,smart_certified,5,"{""AntiHorn"": 3, ""Horn"": 4, ""Unary"": 15}","uncommitted|horn|antihorn","StructuralAntiHorn|StructuralHorn"
"IndiansDiabetes-bin",0,5,cals,5,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"IndiansDiabetes-bin",0,5,cals_compact_explain,5,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"IndiansDiabetes-bin",0,7,unary,1,"{""Unary"": 57}","uncommitted","StructuralHorn"
"IndiansDiabetes-bin",0,7,horn,1,"{""Horn"": 50}","horn","StructuralHorn"
"IndiansDiabetes-bin",0,7,antihorn,1,"{""AntiHorn"": 49}","antihorn","StructuralAntiHorn"
"IndiansDiabetes-bin",0,7,square2cnf,1,"{""Square2Cnf"": 56}","two_sat","TwoSat"
"IndiansDiabetes-bin",0,7,affine,1,"{""Affine"": 52}","affine_gf2","Gf2Gaussian"
"IndiansDiabetes-bin",0,7,smart_certified,5,"{""Affine"": 5, ""AntiHorn"": 4, ""Horn"": 14, ""Square2Cnf"": 1, ""Unary"": 25}","uncommitted|horn|antihorn|two_sat|affine_gf2","Gf2Gaussian|StructuralAntiHorn|StructuralHorn|TwoSat"
"IndiansDiabetes-bin",0,7,cals,5,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"IndiansDiabetes-bin",0,7,cals_compact_explain,5,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"IndiansDiabetes-bin",1,5,unary,1,"{""Unary"": 23}","uncommitted","StructuralHorn"
"IndiansDiabetes-bin",1,5,horn,1,"{""Horn"": 26}","horn","StructuralHorn"
"IndiansDiabetes-bin",1,5,antihorn,1,"{""AntiHorn"": 19}","antihorn","StructuralAntiHorn"
"IndiansDiabetes-bin",1,5,square2cnf,1,"{""Square2Cnf"": 21}","two_sat","TwoSat"
"IndiansDiabetes-bin",1,5,affine,1,"{""Affine"": 22}","affine_gf2","Gf2Gaussian"
"IndiansDiabetes-bin",1,5,smart_certified,5,"{""Affine"": 4, ""Horn"": 1, ""Unary"": 17}","uncommitted|horn|affine_gf2","Gf2Gaussian|StructuralHorn"
"IndiansDiabetes-bin",1,5,cals,5,"{""Square2Cnf"": 5}","two_sat","TwoSat"
"IndiansDiabetes-bin",1,5,cals_compact_explain,5,"{""Square2Cnf"": 5}","two_sat","TwoSat"
"IndiansDiabetes-bin",1,7,unary,1,"{""Unary"": 48}","uncommitted","StructuralHorn"
"IndiansDiabetes-bin",1,7,horn,1,"{""Horn"": 50}","horn","StructuralHorn"
"IndiansDiabetes-bin",1,7,antihorn,1,"{""AntiHorn"": 31}","antihorn","StructuralAntiHorn"
"IndiansDiabetes-bin",1,7,square2cnf,1,"{""Square2Cnf"": 52}","two_sat","TwoSat"
"IndiansDiabetes-bin",1,7,affine,1,"{""Affine"": 46}","affine_gf2","Gf2Gaussian"
"IndiansDiabetes-bin",1,7,smart_certified,5,"{""Affine"": 10, ""Horn"": 2, ""Unary"": 36}","uncommitted|horn|affine_gf2","Gf2Gaussian|StructuralHorn"
"IndiansDiabetes-bin",1,7,cals,5,"{""Square2Cnf"": 10}","two_sat","TwoSat"
"IndiansDiabetes-bin",1,7,cals_compact_explain,5,"{""Square2Cnf"": 5}","two_sat","TwoSat"
"IndiansDiabetes-bin",2,5,unary,1,"{""Unary"": 25}","uncommitted","StructuralHorn"
"IndiansDiabetes-bin",2,5,horn,1,"{""Horn"": 25}","horn","StructuralHorn"
"IndiansDiabetes-bin",2,5,antihorn,1,"{""AntiHorn"": 25}","antihorn","StructuralAntiHorn"
"IndiansDiabetes-bin",2,5,square2cnf,1,"{""Square2Cnf"": 26}","two_sat","TwoSat"
"IndiansDiabetes-bin",2,5,affine,1,"{""Affine"": 27}","affine_gf2","Gf2Gaussian"
"IndiansDiabetes-bin",2,5,smart_certified,5,"{""Affine"": 6, ""Horn"": 2, ""Unary"": 15}","uncommitted|horn|affine_gf2","Gf2Gaussian|StructuralHorn"
"IndiansDiabetes-bin",2,5,cals,5,"{""Square2Cnf"": 5}","two_sat","TwoSat"
"IndiansDiabetes-bin",2,5,cals_compact_explain,5,"{""Square2Cnf"": 2}","two_sat","TwoSat"
"IndiansDiabetes-bin",2,7,unary,1,"{""Unary"": 58}","uncommitted","StructuralHorn"
"IndiansDiabetes-bin",2,7,horn,1,"{""Horn"": 50}","horn","StructuralHorn"
"IndiansDiabetes-bin",2,7,antihorn,1,"{""AntiHorn"": 53}","antihorn","StructuralAntiHorn"
"IndiansDiabetes-bin",2,7,square2cnf,1,"{""Square2Cnf"": 53}","two_sat","TwoSat"
"IndiansDiabetes-bin",2,7,affine,1,"{""Affine"": 62}","affine_gf2","Gf2Gaussian"
"IndiansDiabetes-bin",2,7,smart_certified,5,"{""Affine"": 13, ""AntiHorn"": 1, ""Horn"": 5, ""Unary"": 30}","uncommitted|horn|antihorn|affine_gf2","Gf2Gaussian|StructuralAntiHorn|StructuralHorn"
"IndiansDiabetes-bin",2,7,cals,5,"{""Square2Cnf"": 9, ""Unary"": 1}","two_sat","TwoSat"
"IndiansDiabetes-bin",2,7,cals_compact_explain,5,"{""Square2Cnf"": 2}","two_sat","TwoSat"
"IndiansDiabetes-bin",3,5,unary,1,"{""Unary"": 22}","uncommitted","StructuralHorn"
"IndiansDiabetes-bin",3,5,horn,1,"{""Horn"": 24}","horn","StructuralHorn"
"IndiansDiabetes-bin",3,5,antihorn,1,"{""AntiHorn"": 27}","antihorn","StructuralAntiHorn"
"IndiansDiabetes-bin",3,5,square2cnf,1,"{""Square2Cnf"": 22}","two_sat","TwoSat"
"IndiansDiabetes-bin",3,5,affine,1,"{""Affine"": 24}","affine_gf2","Gf2Gaussian"
"IndiansDiabetes-bin",3,5,smart_certified,5,"{""Affine"": 1, ""Horn"": 3, ""Unary"": 17}","uncommitted|horn|affine_gf2","Gf2Gaussian|StructuralHorn"
"IndiansDiabetes-bin",3,5,cals,5,"{""Square2Cnf"": 6}","two_sat","TwoSat"
"IndiansDiabetes-bin",3,5,cals_compact_explain,5,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"IndiansDiabetes-bin",3,7,unary,1,"{""Unary"": 52}","uncommitted","StructuralHorn"
"IndiansDiabetes-bin",3,7,horn,1,"{""Horn"": 47}","horn","StructuralHorn"
"IndiansDiabetes-bin",3,7,antihorn,1,"{""AntiHorn"": 47}","antihorn","StructuralAntiHorn"
"IndiansDiabetes-bin",3,7,square2cnf,1,"{""Square2Cnf"": 42}","two_sat","TwoSat"
"IndiansDiabetes-bin",3,7,affine,1,"{""Affine"": 59}","affine_gf2","Gf2Gaussian"
"IndiansDiabetes-bin",3,7,smart_certified,5,"{""Affine"": 7, ""AntiHorn"": 3, ""Horn"": 6, ""Unary"": 33}","uncommitted|horn|antihorn|affine_gf2","Gf2Gaussian|StructuralAntiHorn|StructuralHorn"
"IndiansDiabetes-bin",3,7,cals,5,"{""Square2Cnf"": 15, ""Unary"": 1}","two_sat","TwoSat"
"IndiansDiabetes-bin",3,7,cals_compact_explain,5,"{""Square2Cnf"": 1}","two_sat","TwoSat"
"IndiansDiabetes-bin",4,5,unary,1,"{""Unary"": 24}","uncommitted","StructuralHorn"
"IndiansDiabetes-bin",4,5,horn,1,"{""Horn"": 23}","horn","StructuralHorn"
"IndiansDiabetes-bin",4,5,antihorn,1,"{""AntiHorn"": 24}","antihorn","StructuralAntiHorn"
"IndiansDiabetes-bin",4,5,square2cnf,1,"{""Square2Cnf"": 25}","two_sat","TwoSat"
"IndiansDiabetes-bin",4,5,affine,1,"{""Affine"": 28}","affine_gf2","Gf2Gaussian"
"IndiansDiabetes-bin",4,5,smart_certified,5,"{""Affine"": 2, ""Horn"": 3, ""Unary"": 19}","uncommitted|horn|affine_gf2","Gf2Gaussian|StructuralHorn"
"IndiansDiabetes-bin",4,5,cals,5,"{""Square2Cnf"": 7}","two_sat","TwoSat"
"IndiansDiabetes-bin",4,5,cals_compact_explain,5,"{""Square2Cnf"": 5}","two_sat","TwoSat"
"IndiansDiabetes-bin",4,7,unary,1,"{""Unary"": 52}","uncommitted","StructuralHorn"
"IndiansDiabetes-bin",4,7,horn,1,"{""Horn"": 52}","horn","StructuralHorn"
"IndiansDiabetes-bin",4,7,antihorn,1,"{""AntiHorn"": 50}","antihorn","StructuralAntiHorn"
"IndiansDiabetes-bin",4,7,square2cnf,1,"{""Square2Cnf"": 51}","two_sat","TwoSat"
