dataset,run,depth,method,pruning_enabled,nodes_before,nodes_after,leaves_before,leaves_after,literals_before,literals_after,validation_accuracy_before,validation_accuracy_after,validation_balanced_accuracy_before,validation_balanced_accuracy_after,validation_sensitivity_before,validation_sensitivity_after,validation_specificity_before,validation_specificity_after,validation_macro_f1_before,validation_macro_f1_after,validation_minority_recall_before,validation_minority_recall_after,validation_class_support,root_reason,reason_counts,pruning_time,path_certified
"HTRU_2-bin",3,7,unary,false,177,177,89,89,88,88,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",3,7,horn,false,169,169,85,85,168,168,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",3,7,antihorn,false,163,163,82,82,162,162,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",3,7,square2cnf,false,137,137,69,69,272,272,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",3,7,affine,false,161,161,81,81,173,173,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",3,7,smart_certified,false,171,171,86,86,94,94,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",3,7,cals,true,139,3,70,2,132,4,0.9768555466879489,0.9768555466879489,0.9221443094126889,0.9181973260631825,0.8552631578947368,0.8464912280701754,0.9890254609306409,0.9899034240561896,0.9289137817703769,0.928336173301147,0.8552631578947368,0.8464912280701754,"0:2278|1:228",no_change,"objective_improved:64|no_change:5",0.000740865,true
"HTRU_2-bin",3,7,cals_compact_explain,true,153,5,77,3,123,3,0.9744612928970471,0.9760574620909817,0.9208273647243658,0.9256523111994208,0.8552631578947368,0.8640350877192983,0.9863915715539947,0.9872695346795435,0.9224947954219043,0.9273388707080352,0.8552631578947368,0.8640350877192983,"0:2278|1:228",no_change,"objective_improved:55|insufficient_validation_support:17|no_change:4",0.001087223,true
"HTRU_2-bin",4,5,unary,false,57,57,29,29,28,28,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",4,5,horn,false,53,53,27,27,52,52,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",4,5,antihorn,false,57,57,29,29,56,56,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",4,5,square2cnf,false,53,53,27,27,104,104,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",4,5,affine,false,57,57,29,29,60,60,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",4,5,smart_certified,false,57,57,29,29,28,28,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",4,5,cals,true,55,3,28,2,40,2,0.9752593774940144,0.975658419792498,0.9331072963356591,0.9214858370685273,0.881578947368421,0.8552631578947368,0.9846356453028973,0.9877085162423178,0.9263734722348589,0.9256853755278898,0.881578947368421,0.8552631578947368,"0:2278|1:228",no_change,"objective_improved:26|no_change:1",0.000461214,true
"HTRU_2-bin",4,5,cals_compact_explain,true,55,5,28,3,57,2,0.9764565043894653,0.9748603351955307,0.9298187853303144,0.9309143138795188,0.8728070175438597,0.8771929824561403,0.9868305531167691,0.9846356453028973,0.9289721781196032,0.9250408439516529,0.8728070175438597,0.8771929824561403,"0:2278|1:228",no_change,"objective_improved:18|insufficient_validation_support:3|no_change:6",0.000644291,true
"HTRU_2-bin",4,7,unary,false,149,149,75,75,74,74,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",4,7,horn,false,143,143,72,72,142,142,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",4,7,antihorn,false,167,167,84,84,166,166,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",4,7,square2cnf,false,145,145,73,73,288,288,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",4,7,affine,false,145,145,73,73,162,162,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",4,7,smart_certified,false,147,147,74,74,79,79,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",4,7,cals,true,147,3,74,2,113,2,0.9780526735833999,0.975658419792498,0.9366172234801227,0.9214858370685273,0.8859649122807017,0.8552631578947368,0.9872695346795435,0.9877085162423178,0.9340471723257475,0.9256853755278898,0.8859649122807017,0.8552631578947368,"0:2278|1:228",no_change,"objective_improved:60|no_change:13",0.000741282,true
"HTRU_2-bin",4,7,cals_compact_explain,true,151,5,76,3,157,2,0.975658419792498,0.9748603351955307,0.9313532954422932,0.9309143138795188,0.8771929824561403,0.8771929824561403,0.985513608428446,0.9846356453028973,0.9271376556176303,0.9250408439516529,0.8771929824561403,0.8771929824561403,"0:2278|1:228",no_change,"objective_improved:45|insufficient_validation_support:21|no_change:9",0.001122414,true
"HTRU_2-bin",5,5,unary,false,61,61,31,31,30,30,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",5,5,horn,false,59,59,30,30,58,58,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",5,5,antihorn,false,61,61,31,31,60,60,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",5,5,square2cnf,false,63,63,32,32,124,124,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",5,5,affine,false,61,61,31,31,67,67,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",5,5,smart_certified,false,61,61,31,31,30,30,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",5,5,cals,true,55,5,28,3,61,5,0.9740622505985634,0.9760574620909817,0.9186343822682255,0.9256523111994208,0.8508771929824561,0.8640350877192983,0.9863915715539947,0.9872695346795435,0.9211273143339691,0.9273388707080352,0.8508771929824561,0.8640350877192983,"0:2278|1:228",no_change,"objective_improved:23|no_change:4",0.000542362,true
"HTRU_2-bin",5,5,cals_compact_explain,true,57,5,29,3,56,5,0.9740622505985634,0.9760574620909817,0.9206078739429786,0.9256523111994208,0.8552631578947368,0.8640350877192983,0.9859525899912204,0.9872695346795435,0.9214395435593592,0.9273388707080352,0.8552631578947368,0.8640350877192983,"0:2278|1:228",no_change,"objective_improved:21|insufficient_validation_support:5|no_change:2",0.000753041,true
"HTRU_2-bin",5,7,unary,false,177,177,89,89,88,88,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",5,7,horn,false,175,175,88,88,174,174,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",5,7,antihorn,false,183,183,92,92,182,182,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",5,7,square2cnf,false,175,175,88,88,348,348,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",5,7,affine,false,155,155,78,78,169,169,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",5,7,smart_certified,false,177,177,89,89,97,97,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",5,7,cals,true,151,15,76,8,150,22,0.9744612928970471,0.9768555466879489,0.9188538730496126,0.924117801087442,0.8508771929824561,0.8596491228070176,0.9868305531167691,0.9885864793678666,0.9221859959633597,0.9291986945296897,0.8508771929824561,0.8596491228070176,"0:2278|1:228",no_change,"objective_improved:63|no_change:12",0.000785458,true
"HTRU_2-bin",5,7,cals_compact_explain,true,157,5,79,3,159,5,0.9736632083000798,0.9760574620909817,0.9184148914868382,0.9256523111994208,0.8508771929824561,0.8640350877192983,0.9859525899912204,0.9872695346795435,0.9200727577788388,0.9273388707080352,0.8508771929824561,0.8640350877192983,"0:2278|1:228",no_change,"objective_improved:47|insufficient_validation_support:25|no_change:6",0.001085635,true
"HTRU_2-bin",6,5,unary,false,59,59,30,30,29,29,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",6,5,horn,false,57,57,29,29,56,56,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",6,5,antihorn,false,59,59,30,30,58,58,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",6,5,square2cnf,false,61,61,31,31,120,120,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",6,5,affine,false,59,59,30,30,66,66,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",6,5,smart_certified,false,59,59,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",6,5,cals,true,53,3,27,2,59,4,0.9760574620909817,0.9760574620909817,0.8960499360781233,0.9138113611509018,0.7982456140350878,0.8377192982456141,0.9938542581211589,0.9899034240561896,0.9227064861574905,0.9255621454102597,0.7982456140350878,0.8377192982456141,"0:2278|1:228",no_change,"objective_improved:23|no_change:3",0.000443892,true
"HTRU_2-bin",6,5,cals_compact_explain,true,59,5,30,3,43,3,0.9764565043894653,0.9740622505985634,0.9120573602575359,0.912713907243966,0.8333333333333334,0.8377192982456141,0.9907813871817384,0.9877085162423178,0.9263509148229158,0.9201736782394987,0.8333333333333334,0.8377192982456141,"0:2278|1:228",no_change,"objective_improved:21|insufficient_validation_support:5|no_change:3",0.000720956,true
"HTRU_2-bin",6,7,unary,false,171,171,86,86,85,85,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",6,7,horn,false,153,153,77,77,152,152,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",6,7,antihorn,false,163,163,82,82,162,162,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",6,7,square2cnf,false,171,171,86,86,340,340,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",6,7,affine,false,153,153,77,77,170,170,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",6,7,smart_certified,false,173,173,87,87,95,95,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",6,7,cals,true,143,3,72,2,155,4,0.9728651237031125,0.9760574620909817,0.9100819432250513,0.9138113611509018,0.8333333333333334,0.8377192982456141,0.9868305531167691,0.9899034240561896,0.9166575372480281,0.9255621454102597,0.8333333333333334,0.8377192982456141,"0:2278|1:228",no_change,"objective_improved:67|no_change:4",0.000662355,true
"HTRU_2-bin",6,7,cals_compact_explain,true,161,5,81,3,113,3,0.975658419792498,0.9740622505985634,0.9116183786947615,0.912713907243966,0.8333333333333334,0.8377192982456141,0.9899034240561896,0.9877085162423178,0.9241665017206474,0.9201736782394987,0.8333333333333334,0.8377192982456141,"0:2278|1:228",no_change,"objective_improved:57|insufficient_validation_support:19|no_change:4",0.001075928,true
"HTRU_2-bin",7,5,unary,false,59,59,30,30,29,29,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",7,5,horn,false,61,61,31,31,60,60,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",7,5,antihorn,false,61,61,31,31,60,60,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",7,5,square2cnf,false,61,61,31,31,120,120,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",7,5,affine,false,57,57,29,29,62,62,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",7,5,smart_certified,false,59,59,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,"",no_change,"",0,true
"HTRU_2-bin",7,5,cals,true,53,11,27,6,37,9,0.9776536312849162,0.9804469273743017,0.908768849252191,0.9241197264451735,0.8245614035087719,0.8552631578947368,0.9929762949956101,0.9929762949956101,0.9290716480672812,0.9388338106156419,0.8245614035087719,0.8552631578947368,"0:2278|1:228",no_change,"objective_improved:21|no_change:5",0.000473588,true
